,zip,city,price,baths,beds,home_sqft,type,url,year_built,lot_sqft
56,91791,West Covina,679990.0,3.0,2.0,1318.0,TOWNHOUSE,https://www.zillow.com/community/asteria-jade/2060513248_zpid/,2023.0,1318.0
57,91790,West Covina,850000.0,3.0,4.0,1782.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/117-N-Ellen-Dr-West-Covina-CA-91790/21559461_zpid/,1954.0,7467.0
58,91791,West Covina,799990.0,4.0,3.0,1697.0,TOWNHOUSE,https://www.zillow.com/community/asteria-jade/2060513255_zpid/,2023.0,1697.0
59,91791,West Covina,679990.0,3.0,2.0,1318.0,TOWNHOUSE,https://www.zillow.com/community/asteria-jade/2060513247_zpid/,2023.0,1318.0
60,91790,West Covina,613000.0,3.0,2.0,1216.0,TOWNHOUSE,https://www.zillow.com/community/seville-at-vincent-place/2057642501_zpid/,2023.0,1216.0
61,91791,West Covina,679990.0,3.0,2.0,1318.0,TOWNHOUSE,https://www.zillow.com/community/asteria-jade/2060513250_zpid/,2023.0,1318.0
62,91790,West Covina,714000.0,3.0,3.0,1791.0,TOWNHOUSE,https://www.zillow.com/community/seville-at-vincent-place/2057642506_zpid/,2023.0,1791.0
63,91722,Covina,137000.0,2.0,2.0,1244.0,MANUFACTURED,https://www.zillow.com/homedetails/1045-N-Azusa-Ave-Covina-CA-91722/136522189_zpid/,1968.0,1244.0
64,91723,Covina,624000.0,1.0,2.0,832.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/726-S-Palmetto-Ave-Covina-CA-91723/21556811_zpid/,1949.0,6355.0
65,91724,Covina,875000.0,3.0,4.0,1852.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/139-S-Wilbur-Ave-Covina-CA-91724/21545140_zpid/,1963.0,10778.0
66,91722,Covina,688000.0,2.0,4.0,1175.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/237-W-Devanah-St-Covina-CA-91722/21538948_zpid/,1955.0,6748.0
67,91722,Covina,139999.0,2.0,3.0,1298.5,MANUFACTURED,https://www.zillow.com/homedetails/1380-N-Citrus-Ave-TRAILER-D9-Covina-CA-91722/136705735_zpid/,1966.0,1298.5
68,91724,Covina,1448888.0,3.0,5.0,2888.0,SINGLE_FAMILY,https://www.zillow.com/homedetails/3436-Rancho-Rio-Bonita-Rd-Covina-CA-91724/21555256_zpid/,1961.0,20462.0
